obj_id,obj_title,obj_beginyear,obj_endyear,obj_medium,obj_dimensions,obj_inscription,obj_attribution,obj_class,loc_site,loc_room,loc_description,img_url
131894,Minerva,1596.0,1596.0,engraving on laid paper,sheet: 33.9 x 25 cm (13 3/8 x 9 13/16 in.) (trimmed within plate mark),"in image, at centre left: Cum privil. Sa. Cae. M. / Anno 1596; in image, at bottom centre: HG; in image, at bottom right: I; below image, at left: Quaecunque in terris florent, Sunt Palladis artes, / A me dexteritas, ingeniiqué vigor; below image, at centre: Magco ac Clarmo uiro Dño Joañi Baruito I. U. D.ri Sa. Cae. Mtis / Consiliario Aulico, e Secretario Dño suo obseruandissimo / H. Goltzius officii e gratitudinis ergò / D. D.; below image, at right: Nec mirum, ex cerebro cum sim prognata, Iovisqué / Optima pars, summo filia charo Deo. / C. Schonaeus",Hendrick Goltzius,print,West Building,G-022-A,West Ground Floor Gallery 22A,"https://api.nga.gov/iiif/5c7ab9ab-76f8-424a-9d8e-c60e93d6eeaf/full/!500,500/0/default.jpg"
136019,George Moore in the Artist's Garden,1879.0,1879.0,oil on canvas,"overall: 54.6 x 45.1 cm (21 1/2 x 17 3/4 in.)
framed: 78.11 × 68.26 × 10.8 cm (30 3/4 × 26 7/8 × 4 1/4 in.)","lower right, atelier stamp in red: E.M",Edouard Manet,painting,West Building,M-087,West Main Floor Gallery 87,"https://api.nga.gov/iiif/d285792e-0961-4900-af88-e10624689d79/full/!500,500/0/default.jpg"
166432,A Pastoral Visit,1881.0,1881.0,oil on canvas,"overall: 119.38 × 167.16 cm (47 × 65 13/16 in.)
framed: 144.46 × 191.14 × 10.8 cm (56 7/8 × 75 1/4 × 4 1/4 in.)",lower right: Richd. N. Brooke. 1881. / (ELEVE DE BONNAT - PARIS),Richard Norris Brooke,painting,West Building,M-065,West Main Floor Gallery 65,"https://api.nga.gov/iiif/e5b06963-1e7c-43c7-8920-fe6761f8c24d/full/!500,500/0/default.jpg"
166433,The Longshoremen's Noon,1879.0,1879.0,oil on canvas,"overall: 84 × 127.3 cm (33 1/16 × 50 1/8 in.)
framed: 109.9 × 153 × 9.5 cm (43 1/4 × 60 1/4 × 3 3/4 in.)",lower left: J. G. Brown N.A. / N.Y. 1879,John George Brown,painting,West Building,M-068,West Main Floor Gallery 68,"https://api.nga.gov/iiif/c38ed386-91a4-4a58-969a-5a7bce3419f0/full/!500,500/0/default.jpg"
166461,Leisure and Labor,1858.0,1858.0,oil on canvas,"overall: 39.53 × 57.94 cm (15 9/16 × 22 13/16 in.)
framed: 56.83 × 78.11 × 10.16 cm (22 3/8 × 30 3/4 × 4 in.)",,Frank Blackwell Mayer,painting,West Building,M-065,West Main Floor Gallery 65,"https://api.nga.gov/iiif/58338188-a428-4069-85fc-a54e08a6b68e/full/!500,500/0/default.jpg"
166471,Simplon Pass,1911.0,1911.0,oil on canvas,"overall: 71.8 × 92.6 cm (28 1/4 × 36 7/16 in.)
framed: 92.1 × 112.7 × 8.9 cm (36 1/4 × 44 3/8 × 3 1/2 in.)",lower right: John S Sargent,John Singer Sargent,painting,West Building,M-070,West Main Floor Gallery 70,"https://api.nga.gov/iiif/482e9978-5e15-4947-bf8b-67275347b13d/full/!500,500/0/default.jpg"
206164,V-X,1967.0,1967.0,stainless steel and wire cable,overall (height by diameter): 182.88 × 304.8 cm (72 × 120 in.),,Kenneth Snelson,sculpture,East Building,ET-616,"East Bldg, Terrace","https://api.nga.gov/iiif/2e52cca4-5c93-4d08-8f8a-27c19ea536c3/full/!500,500/0/default.jpg"
1,Saint Paul and a Group of Worshippers,1333.0,1333.0,tempera on panel,"painted surface: 224.8 × 77 cm (88 1/2 × 30 5/16 in.)
overall: 233.53 × 88.8 × 5.3 cm (91 15/16 × 34 15/16 × 2 1/16 in.)",above the saint's halo: S[ANCTUS]; above the saint's shoulders: PAU LUS; on the lower frame below the worshippers: [ANNO DOMI]NI.MCCCXXXIII M...II.ESPLETUM FUIT H[O]C OPUS (In the year of the Lord 1333... this work was finished) [1],Bernardo Daddi,painting,West Building,M-002,West Main Floor Gallery 2,"https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a/full/!500,500/0/default.jpg"
18,The Annunciation,1383.0,1435.0,tempera (and possibly oil glazes) on panel,"overall: 148.8 x 115.1 cm (58 9/16 x 45 5/16 in.)
framed: 181 x 165.1 x 11.1 cm (71 1/4 x 65 x 4 3/8 in.)","on the Virgin's prayerbook: virgo / [c]oncipiet / [e]t p[a]ri[et] / fili[um et vocabitur nomen eius] em[m]anuel / butirum et / mel come / dit u[t] fiat / [rep]roba[re] (Propter hoc dabit Dominus ipse vobis signum. Ecce virgo concipiet, et pariet filium, et vocabitur nomen eius Emmanuel. Butyrum et mel comedet, ut sciat reprobare malum, et eligere bonum; from Isaiah 7:14-15)",Masolino da Panicale,painting,West Building,M-004,West Main Floor Gallery 4,"https://api.nga.gov/iiif/e6497b39-66a9-4b6b-bf2b-c1633d20c0b6/full/!500,500/0/default.jpg"
19,Portrait of a Man,1450.0,1450.0,tempera on panel,"painted surface: 54.2 x 40.4 cm (21 5/16 x 15 7/8 in.)
support: 55.5 x 41.2 cm (21 7/8 x 16 1/4 in.)
framed: 86.4 x 74.9 x 8.9 cm (34 x 29 1/2 x 3 1/2 in.)",,Andrea del Castagno,painting,West Building,M-006,West Main Floor Gallery 6,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!500,500/0/default.jpg"
